accesslevel,accesslevelh,added,bucket,bucketh,date,description,group,historyfile,indexfile,instore,keyvalues,media,mediah,name,owner,perfectmatch,randomid,relations,simhash,simhashh,size,storageid,systemid,tags,tagsh,type,typeh,xscore
6,Redacted,2024-09-24T15:00:45.232572Z,leaks.private.general,Leaks » Restricted » General,2024-09-24T15:00:24.911818Z,,c08c87fabf871b1518f90373eee45edf0f7a104dc2b91d546643146f4c396adaadc21b99c4bb876c983f9d3bd37aab75100def04d496fd48ffc483540847720f,,c08c87fabf871b1518f90373eee45edf0f7a104dc2b91d546643146f4c396adaadc21b99c4bb876c983f9d3bd37aab75100def04d496fd48ffc483540847720f,True,,32,CSV File,49M BASE CORP UHQ.rar/49M BASE CORP UHQ.csv [Part 301 of 425],00000000-0000-0000-0000-000000000000,False,deffea37-2dec-4b1d-b0a7-a43ab61f3b26,"[{'target': '9a2611aa-3a2d-4f08-9b74-532f7c1584e1', 'relation': 8}]",14462121763966388652,c8b3c71ee7a989ac,4194303,04895d3b378d78b644203e368e21611f0ba069ba07017c5ffb9b251c81b7829af8bace757d4ebbeca917c4769bb898fbc42e82d6e488f316700f8c33a64f55d2,1af32888-cfd6-4eaa-a761-3d6e06dd4260,,,1,Text,77
6,Redacted,2024-09-24T15:00:39.719927Z,leaks.private.general,Leaks » Restricted » General,2024-09-24T15:00:22.669557Z,,c08c87fabf871b1518f90373eee45edf0f7a104dc2b91d546643146f4c396adaadc21b99c4bb876c983f9d3bd37aab75100def04d496fd48ffc483540847720f,,c08c87fabf871b1518f90373eee45edf0f7a104dc2b91d546643146f4c396adaadc21b99c4bb876c983f9d3bd37aab75100def04d496fd48ffc483540847720f,True,,32,CSV File,49M BASE CORP UHQ.rar/49M BASE CORP UHQ.csv [Part 240 of 425],00000000-0000-0000-0000-000000000000,False,5b40b550-52c0-4253-88d1-b808d8cc2404,"[{'target': '9a2611aa-3a2d-4f08-9b74-532f7c1584e1', 'relation': 8}]",9814142996192105917,8832d70eb6eb15bd,4194272,f3404fd61366de907ed3db859351fe8468b4ce4dbd3ce6a7b1ff96a014ba5af1b1db670d044ec2d7a96a73b2eb9a7449c46796d79d0b8788263bd9d76d1bccdb,50740cbe-5b18-4cab-a94e-219eb5310b94,,,1,Text,76
6,Redacted,2024-09-24T15:00:16.085117Z,leaks.private.general,Leaks » Restricted » General,2024-09-24T15:00:15.080348Z,,c08c87fabf871b1518f90373eee45edf0f7a104dc2b91d546643146f4c396adaadc21b99c4bb876c983f9d3bd37aab75100def04d496fd48ffc483540847720f,,c08c87fabf871b1518f90373eee45edf0f7a104dc2b91d546643146f4c396adaadc21b99c4bb876c983f9d3bd37aab75100def04d496fd48ffc483540847720f,True,,32,CSV File,49M BASE CORP UHQ.rar/49M BASE CORP UHQ.csv [Part 10 of 425],00000000-0000-0000-0000-000000000000,False,aff0f18a-0936-4581-8c23-1ed35ce45a51,"[{'target': '9a2611aa-3a2d-4f08-9b74-532f7c1584e1', 'relation': 8}]",15633057658559891884,d8f3c71ceba989ac,4194294,e5cb950347d946f1cb956688eb2b0983831600374d846f224f8d61ca96826a2ceef043a2c561a4d57b19915371b1cc83e026cf7678c275de898c8f68d0ff1bde,41188e0b-c230-47eb-877b-204b2b5714dc,,,1,Text,74
6,Redacted,2024-09-10T15:02:22.632217Z,leaks.private.general,Leaks » Restricted » General,2024-09-10T15:02:01.282153Z,,24dbd0053d155cb5fe8d2ade78732996af39360138acd30f109c33d07dd044459097623f1451f75837a65c46512b6a17e163d6a42650fc3726fa3c8b9f14f95e,,24dbd0053d155cb5fe8d2ade78732996af39360138acd30f109c33d07dd044459097623f1451f75837a65c46512b6a17e163d6a42650fc3726fa3c8b9f14f95e,True,,32,CSV File,241kk.rar/241kk_1.csv [Part 230 of 257],00000000-0000-0000-0000-000000000000,False,2410c606-4b53-402d-9f7b-2492580aa5a0,"[{'target': '6ec0e3b8-15c1-4aa1-8a6e-6e8593b28d62', 'relation': 8}]",15623206034375027116,d8d0c71ceba9a9ac,4194266,3ac132ed4ec01bf40d62943b01b086bbb9eeefd8684849f0aacec42a358ea946d170d34da81c9220a680c3194f1c42f3b324255f87bae0be74b8cf397bf90119,a338be53-a0a3-4541-a4d7-8a6a4ecd8e9b,,,1,Text,74
6,Redacted,2024-04-15T11:30:44.639555Z,leaks.private.general,Leaks » Restricted » General,2024-04-15T11:30:43.681715Z,,e5986750fa63c2cb1acb398cea61a4aa51a17931418813b904100d24644e12d8a27f55ad67409961adb9f21649abc81d5abe13c48c7f5061145b50aebfa17476,,e5986750fa63c2cb1acb398cea61a4aa51a17931418813b904100d24644e12d8a27f55ad67409961adb9f21649abc81d5abe13c48c7f5061145b50aebfa17476,True,,24,Text File,16kk_mailpass.rar/16kk_mailpass.txt [Part 124 of 135],00000000-0000-0000-0000-000000000000,False,b8793ddd-8270-42ad-ba1c-7380dcb24997,"[{'target': '6e04e3a5-d244-4cf1-86d0-31e67810d452', 'relation': 8}]",9813841789812585900,8831c51ca3a9b5ac,4194277,72a4fc310a8ad670f64257a337b3bf08470a2ebd142080c71f381944a94a8c7271c349fb1779c08adfcc6542ca3ad0e7f29dcf13718286bc23683b24b7deb19f,e241a94e-f1c0-41b4-b037-040be5123de3,,,1,Text,74
6,Redacted,2023-08-19T10:26:26.857873Z,leaks.private.general,Leaks » Restricted » General,2023-08-19T10:25:33.951449Z,,4eb97fa72c119f067b176be705c55582926153364ce28f67e5322c04e334068af1a004bae7b61b3c7d35a79b15c79832938ed6c6b3ce513ac136775bd4826cc8,,4eb97fa72c119f067b176be705c55582926153364ce28f67e5322c04e334068af1a004bae7b61b3c7d35a79b15c79832938ed6c6b3ce513ac136775bd4826cc8,True,,24,Text File,43m EmailPass.txt [Part 118 of 379],00000000-0000-0000-0000-000000000000,False,c3bb7e3c-5d88-499c-a73f-997c90ae05a8,"[{'target': 'c6e5344b-24a2-4709-95fd-db9174e311ac', 'relation': 7}]",9831574714419099020,8870c51ce3a9b58c,4194302,9a5c9afd2eba649e47bb86b71350c10823818842e0aa9a887f5b4882847955feeb3f08b6b39763a2bbbe54fb86d7868b56a8a4a2d3e9deb29f96446d7e535104,ee61fbc1-af2e-4b7e-869b-3604d8425c4b,,,1,Text,74
6,Redacted,2023-06-18T08:17:54.094713Z,leaks.private.general,Leaks » Restricted » General,2023-06-18T08:17:53.79721Z,,ba25c8b6366065f85295c64681702f75b489ee5ef888bc703b9b67868064a9e50e30c418073c4bcdc4b149e689314bdc12b53fad6d8338db5de3edf99080f3bb,,ba25c8b6366065f85295c64681702f75b489ee5ef888bc703b9b67868064a9e50e30c418073c4bcdc4b149e689314bdc12b53fad6d8338db5de3edf99080f3bb,True,,24,Text File,EmailPASS Recovery File.txt [Part 19 of 99],00000000-0000-0000-0000-000000000000,False,5adb9f87-7d38-440b-9209-5206d9b73acf,"[{'target': '70b08106-98ad-4948-bcdc-124a4229a04a', 'relation': 7}]",9831856189395809676,8871c51ce3a9b58c,4194301,d76ce9e442baeee8680920c19c572cc2761a07f2d7c7f264e9cee9ba41d66e421145795d9af380ca2ba1f76bee46037c94d060b1a518c5391c7940d64563219a,f570b194-6762-4855-a284-4e2283eb37c5,,,1,Text,74
6,Redacted,2024-03-30T22:18:39.984478Z,leaks.private.general,Leaks » Restricted » General,2024-03-30T22:18:39.546628Z,,25e7e9299e074192839bab7fb1107818cfe47866c5c1ee8025303b9dd5f10159538796b8deaffdcef7258f1376fb8026849ca64279c995cf72b08ce0ceeb1bbe,,25e7e9299e074192839bab7fb1107818cfe47866c5c1ee8025303b9dd5f10159538796b8deaffdcef7258f1376fb8026849ca64279c995cf72b08ce0ceeb1bbe,True,,24,Text File,@llinkpass 2.txt [Part 17 of 470],00000000-0000-0000-0000-000000000000,False,954f5d5d-1a8b-472b-915c-e31286c5665c,"[{'target': 'ec002d8d-cc3c-4db6-9f00-5422e4b4d3c6', 'relation': 7}]",14425141888722516616,c830661ebfe9ba88,4194278,6a4c41a35020feee28a653712e0e4866afc6e3d45d26d13ba69d093d8845fe485e05a4bcd66ad3fefd9560361bc5d3d054963e71fc3b7f2ec5a4c79eabaa9dfc,29030ff6-bcda-4cf5-b70b-1417291f8026,,,1,Text,73
6,Redacted,2023-06-19T11:24:30.730645Z,leaks.private.general,Leaks » Restricted » General,2023-06-19T11:24:30.239263Z,,db2c33b0a88a449e11df8d141eb416c42e767dfc36897f27e105529013be57eb987b377e6cbf8f8216c281f930b95dbbfc1c3c39e24ef714c09f7a25012d493a,,db2c33b0a88a449e11df8d141eb416c42e767dfc36897f27e105529013be57eb987b377e6cbf8f8216c281f930b95dbbfc1c3c39e24ef714c09f7a25012d493a,True,,24,Text File,rest (8).txt [Part 76 of 76],00000000-0000-0000-0000-000000000000,False,b79351cc-bb53-428a-a861-9da3722e5e83,"[{'target': '1f0680e0-8b44-4fb7-8559-dfd0e8e7a513', 'relation': 7}]",11021371639998294412,98f3c71ce3a9a98c,4052047,1e6d0d1ae29d055c0c20e41164fe21e9314aff2c584d74b0d83e9e241f617afb28a3985010dd145150c60da925fc384f78ae7e9b24c578d27510590995604510,37324033-d63f-4d51-bb06-5c3222768b5f,,,1,Text,73
6,Redacted,2023-06-18T14:28:51.497052Z,leaks.private.general,Leaks » Restricted » General,2023-06-18T09:39:41.053644Z,,9e7ee7830fd816d51ca95d0366efa34e48232a6a7ba71285e83e4c3df1b69b42eb7c54dbd805a2f2ff9c474206ee00b74fca6773b683c293c85fca9799157cd0,,9e7ee7830fd816d51ca95d0366efa34e48232a6a7ba71285e83e4c3df1b69b42eb7c54dbd805a2f2ff9c474206ee00b74fca6773b683c293c85fca9799157cd0,True,,24,Text File,mailpass 700k.txt [Part 6 of 7],00000000-0000-0000-0000-000000000000,False,35b18fbe-f210-4dbb-9672-2300e6af2953,"[{'target': 'f6d663e5-03d3-4749-aacb-9324f41493f0', 'relation': 7}]",9831882577674876332,8871dd1ce3a9b5ac,4194295,5f61a4b45efa5e547a74829cccf0ea3c3c9f29f8d751a6d82b07a4f019712221421c82005c4d8b4308e4cb7ad4fe4664462ac5859df3a28643d5f2d6f876afb3,51788b5b-02d9-467e-a3ae-2a80106813b8,,,1,Text,73
